date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count,target_return
2022-09-27,419.8489999999988,282.36599999999953,137.4829999999993,128831.457,0.008538,1.6476039184537992,1300470.727000352,2321813,0.017338605066758106
2022-09-28,355.5419999999996,338.5049999999998,17.03699999999975,130823.287,0.005332,2.50385423966363,1141210.988003475,1978244,0.009162636565832827
2022-09-29,260.61299999999954,232.55599999999976,28.05699999999979,132482.506,0.006685,1.2456770716370986,991666.8550036632,1725110,-0.008658457767896977
2022-09-30,250.46699999999993,176.65399999999983,73.8130000000001,125450.333,0.01,1.3923444976076558,1071387.9700039716,1820747,-0.005765558823590311
2022-10-01,42.277000000000015,20.27199999999999,22.005000000000024,126174.264,0.007005,1.696871628910464,294454.89599959675,626332,-0.013248299277497821
2022-10-02,114.20100000000004,86.32300000000005,27.877999999999982,126586.689,0.005384,2.009328919650918,414964.255999336,763448,0.029588146889958367
2022-10-03,74.58600000000007,234.86899999999983,-160.28299999999976,135592.163,0.01,2.606202668589974,621810.3470002004,1149221,0.03547006675217901
2022-10-04,196.33099999999973,190.4879999999998,5.8429999999999325,166116.818,0.01,1.3228803716608597,796675.4770018044,1415013,-0.008868076947532444
2022-10-05,144.63899999999992,142.65500000000011,1.98399999999981,159175.44,0.01,0.723543605653223,719565.7900010147,1255999,-0.009850292500255264
2022-10-06,115.56600000000012,117.95400000000008,-2.3879999999999626,156627.711,0.01,0.9204916458613404,782026.3170019044,1376127,-0.02180748428132162
2022-10-07,192.66699999999992,83.95800000000003,108.70899999999988,146561.111,0.007513,1.1982853374367992,672731.3430009828,1225792,-0.0057579421714510914
2022-10-08,56.393000000000015,36.907,19.48600000000002,144423.768,0.004149,2.21646831778707,253256.88699978177,542077,0.0010839752375062517
2022-10-09,18.078999999999997,23.80700000000001,-5.728000000000012,145413.387,0.001951,2.2299741602067185,267178.05499973864,538523,-0.015926855342589974
2022-10-10,203.467,84.76500000000001,118.702,151688.497,0.01,2.4141345168999657,560911.0049994983,959969,-0.003763632670310102
2022-10-11,158.86499999999987,87.52400000000007,71.3409999999998,156137.955,0.01,3.0,603346.7050001269,971118,0.004999548559698752
2022-10-12,16.860000000000003,59.60400000000006,-42.74400000000006,151050.965,0.01,3.0733197556008145,406765.3069994521,711823,0.011398838108565457
2022-10-13,255.16300000000015,228.41999999999976,26.743000000000393,153097.705,0.003936,2.4447123665173955,1104595.820002309,1835628,-0.010282290815579742
2022-10-14,225.66200000000003,177.17700000000005,48.484999999999985,146417.851,0.008395,1.8272547356516824,859030.477002261,1366606,-0.005623562392809589
2022-10-15,37.047999999999995,26.534999999999997,10.512999999999998,148589.076,0.004563,2.012048192771084,241514.71299980723,484523,0.010100687533673991
2022-10-16,59.96199999999996,63.45699999999999,-3.495000000000026,142991.253,0.003394,2.228931223764934,267912.6449997518,512626,0.014783006060810067
2022-10-17,46.68999999999999,74.56200000000004,-27.87200000000005,156452.751,0.006458,2.2938076416337285,502308.597999184,857170,-0.011442277457684114
2022-10-18,142.30900000000008,112.38399999999996,29.925000000000125,152650.565,0.01,1.4230676035861398,634257.3500002897,976845,-0.010583325769578877
2022-10-19,103.79600000000008,36.71300000000002,67.08300000000006,154013.395,0.01,1.900232018561485,404344.0479993428,702029,-0.004299657437842441
2022-10-20,142.99900000000017,88.39400000000006,54.6050000000001,156774.502,0.002095,2.4891835310537336,537618.0299996211,810002,0.006409961253210028
2022-10-21,95.50700000000002,116.64000000000011,-21.133000000000095,150110.755,-0.00089,2.8925652004671076,581871.8089999877,867112,0.0020839900038094328
2022-10-22,27.46899999999999,22.64799999999999,4.8210000000000015,150583.677,-0.000319,2.2435939020434645,174052.88999993325,366876,0.018881404774907296
2022-10-23,28.589,172.51499999999996,-143.92599999999996,161041.448,0.005174,1.8312570781426956,358607.6169998135,582026,-0.01237441278798812
2022-10-24,66.405,119.16300000000008,-52.75800000000008,146293.728,0.002328,1.320185614849188,476675.72299938306,711360,0.03808397301398081
2022-10-25,110.85800000000008,280.47699999999963,-169.61899999999957,164610.42,-0.000166,1.838489923360772,777258.698001746,1182074,0.033858406805052255
2022-10-26,164.9129999999999,149.013,15.899999999999892,166689.582,0.006122,0.8031013342949873,841853.988002216,1394316,-0.02320621734790862
2022-10-27,169.75100000000003,124.68000000000004,45.071,151942.792,0.001376,0.7500875043752188,614908.8689994036,1112430,0.014514910485441845
2022-10-28,159.23300000000003,115.3820000000002,43.85099999999983,147036.183,-0.002629,0.9496977968414896,595520.2659999314,1012443,0.010522901703300391
2022-10-29,126.3110000000002,289.9639999999996,-163.6529999999994,152876.186,0.004205,0.9462826002335538,482211.32199903176,844838,-0.008793615102668184
2022-10-30,97.72499999999994,85.58200000000008,12.14299999999986,144065.581,0.005135,0.7409470752089137,295387.62199958425,585043,-0.006651090639639534
2022-10-31,118.40600000000006,111.27900000000004,7.127000000000024,134366.019,-0.000434,0.8301610541727672,478793.0159990648,853142,-0.00034753441282120434
2022-11-01,57.727000000000025,55.32500000000002,2.402000000000008,135158.646,0.001302,1.157497303128371,314675.65199955285,608551,-0.016329943003791314
2022-11-02,197.17600000000024,118.87800000000009,78.29800000000016,129815.544,0.006046,1.1598272138228942,651516.617000321,1127384,0.002774058844849492
2022-11-03,177.77000000000018,71.57700000000001,106.19300000000015,129505.705,0.00694,1.5726781579624391,372105.44299949985,623029,0.04550026847944544
2022-11-04,110.73600000000005,304.77399999999943,-194.0379999999994,142092.782,0.006899,1.6198585276395074,824502.2810018355,1198174,0.007107568128679631
2022-11-05,53.305,100.556,-47.251,147895.399,0.01,0.8112660749864155,303982.79099951184,612006,-0.018661385830796462
2022-11-06,193.80600000000007,21.923000000000012,171.88300000000007,139297.347,0.006866,0.7452006980802793,277143.1939996574,518580,-0.015155708438383542
2022-11-07,295.31399999999945,56.06400000000002,239.24999999999943,130219.609,0.01,0.903311762466692,554403.7449992887,908241,-0.10453994878635697
2022-11-08,1331.8669999999963,583.7839999999975,748.0829999999988,120225.293,0.009446,1.6903416733925207,2017388.582992531,3933465,-0.1525677793793303
2022-11-09,1363.0369999999946,720.2019999999972,642.8349999999974,132269.178,-0.032976,3.205214465937763,2065590.9849986648,4779775,0.10021156844027068
2022-11-10,583.1329999999986,1059.0429999999965,-475.9099999999979,122331.944,-0.023833,2.5050823694356814,1496791.5530010506,3581480,-0.030623543661599584
2022-11-11,358.11899999999935,407.0099999999993,-48.89099999999996,117629.031,-0.005802,2.0129557095510697,955273.471004094,2445350,-0.01524302151959489
2022-11-12,145.07300000000004,62.474,82.59900000000005,117567.329,0.006521,2.217503217503218,304453.64699958236,834207,-0.029102954245262325
2022-11-13,160.51200000000009,83.59000000000007,76.92200000000001,119215.264,0.002816,1.9550827423167845,349742.24199956574,814305,0.017579576532613217
2022-11-14,364.5849999999988,288.7479999999993,75.83699999999948,115436.228,-0.001132,2.4399724802201583,934226.7760030904,2003092,0.01677305124617945
2022-11-15,218.92800000000008,176.82100000000028,42.1069999999998,117742.633,0.002275,2.4002040122407347,649262.0660004964,1305847,-0.014171059886844972
2022-11-16,154.13800000000006,118.09700000000004,36.041000000000025,123196.291,-0.006617,1.5322866548493288,537231.8209995497,1086473,0.001786821887998613
2022-11-17,144.19999999999993,86.87400000000004,57.325999999999894,124490.267,-0.002701,2.2851511169513796,408976.8939994772,819031,0.00047255399539203324
2022-11-18,83.812,68.25600000000003,15.555999999999967,120846.621,0.000955,1.696871628910464,388607.25299956306,725654,1.377198915086808e-05
2022-11-19,46.53699999999999,34.61799999999999,11.919000000000004,119625.24,-0.001169,2.0084235860409145,171820.05899991284,390920,-0.025497948917879043
2022-11-20,135.55200000000005,52.10599999999997,83.44600000000008,121296.048,-0.000979,1.914602156805596,327592.5399996557,611498,-0.03112642711283975
2022-11-21,205.60100000000008,240.86399999999983,-35.26299999999975,129027.914,0.002302,2.266906239790918,790212.2370011082,1333343,0.027847762883542515
2022-11-22,139.50200000000024,173.845,-34.34299999999976,127870.414,0.007881,2.641660597232338,579310.7230000083,1042917,0.022917203202952763
2022-11-23,149.99500000000006,193.654,-43.658999999999935,123272.072,-0.00039,1.992220227408737,546693.9169994337,1000699,-0.00025058686248868867
2022-11-24,81.394,66.31000000000004,15.08399999999996,123864.291,0.006272,1.5412960609911053,351019.7689996367,676757,-0.004638140695062631
2022-11-25,72.30199999999998,44.844,27.457999999999977,125437.431,0.001329,1.3929169657812874,306550.7129997584,556940,-0.0038549854582061727
2022-11-26,48.220000000000034,43.908999999999985,4.31100000000005,126145.552,0.003523,1.44081034903588,253398.09899981233,474581,-0.001811639317102376
2022-11-27,29.811,39.829,-10.018,126737.761,0.003784,1.488181139586962,189369.9669998901,378095,-0.013226836427964628
2022-11-28,232.36400000000023,155.34399999999982,77.02000000000041,124978.316,2.1e-05,1.5634452704434765,497096.6099994665,816191,0.014063432280211785
2022-11-29,39.504000000000026,112.42500000000008,-72.92100000000005,127494.715,0.004171,1.913752913752914,391314.3159995873,643564,0.042921922045644934
2022-11-30,91.9900000000001,187.55999999999983,-95.56999999999974,127111.746,0.009511,1.5419420437214029,620308.0860000439,963193,-0.010911911994265111
2022-12-01,82.70500000000003,36.72599999999999,45.979000000000035,129827.771,0.01,1.249718785151856,411040.68199963577,662719,0.00677253117024712
2022-12-02,69.07600000000005,101.79500000000002,-32.718999999999966,128788.774,-0.003753,1.2104332449160031,335035.6499997607,564018,-0.012216313353322406
2022-12-03,77.494,9.910000000000002,67.584,129658.339,0.01,1.2391401701746532,185255.05299992,357966,0.012974242698660987
2022-12-04,29.039999999999996,66.24900000000004,-37.209000000000046,135962.081,0.004581,1.3100023100023102,291108.5629998015,478827,-0.008179770631693728
2022-12-05,95.81600000000002,96.43700000000004,-0.6210000000000235,122826.298,0.004603,1.1963540522732263,519944.24899937445,947393,0.007200670308000312
2022-12-06,64.29700000000003,46.51600000000001,17.781000000000013,110521.614,0.002305,1.4956326428749689,321314.02999974793,739347,-0.014875177009226803
2022-12-07,70.15500000000003,29.254000000000012,40.90100000000002,107670.221,-0.001492,1.4230676035861398,337777.7529996263,620689,0.022752101931693858
2022-12-08,60.429,91.37400000000002,-30.94500000000002,110651.295,0.000167,1.6062027625749284,402156.71899945696,651003,-0.005562320142260546
2022-12-09,25.768999999999995,30.634000000000007,-4.865000000000013,108933.686,0.003198,1.013693113169553,290230.29599955067,545991,-6.247071687148775e-05
2022-12-10,10.663000000000006,3.855,6.808000000000005,109883.761,0.001711,1.0210185933710592,141894.98099996944,332407,-0.0024809629316511206
2022-12-11,68.55399999999997,15.2,53.35399999999997,109049.569,0.000692,1.06058108386565,171004.09099984533,364061,0.007276920090015793
2022-12-12,81.42499999999995,103.41599999999998,-21.991000000000028,104583.512,-0.00167,1.1743857360295715,335847.2539994992,566172,0.03229536571300429
2022-12-13,109.16400000000006,508.49499999999983,-399.3309999999998,107202.908,0.01,1.139495079161318,596816.4800003474,1007698,0.0015993100237423619
2022-12-14,99.725,152.10400000000004,-52.37900000000005,111768.605,0.01,0.852881230313137,627504.2590005232,1125393,-0.02541755042203242
2022-12-15,116.77800000000002,29.951,86.82700000000003,108231.292,0.00518,0.8132366273798731,437100.2999993344,764748,-0.04262209197455569
2022-12-16,281.8159999999994,70.37300000000005,211.44299999999936,98151.87,-0.001987,1.3674242424242422,622146.8219996579,1011978,0.008644524244230567
2022-12-17,35.778999999999996,89.09700000000008,-53.31800000000008,99340.574,0.009707,1.8011204481792715,248464.6169999145,475748,-0.00228615994732273
2022-12-18,40.299000000000014,61.85099999999997,-21.551999999999957,98436.522,-0.000647,2.0030030030030033,185898.2119999466,366186,-0.01804486904717173
2022-12-19,153.9320000000001,30.951999999999995,122.9800000000001,97353.277,0.004496,1.9655990510083037,344727.43599954306,586455,0.027401604731458917
2022-12-20,48.105,117.7700000000001,-69.6650000000001,95126.916,0.003401,1.9985007496251872,476143.9339993341,757595,-0.004204603849787603
2022-12-21,58.534,11.277000000000005,47.25699999999999,95780.255,0.007582,1.6164311878597593,227751.1869998844,415506,-0.0001925929014063854
2022-12-22,45.584999999999994,41.21799999999998,4.3670000000000115,99460.98,0.007198,1.642007926023778,306607.31499975984,493613,-0.0025553638570467996
2022-12-23,38.584,43.09499999999999,-4.510999999999989,98291.965,0.008903,1.9481132075471697,264553.2389998486,425723,0.0034282735568194056
2022-12-24,0.017,3.612999999999999,-3.595999999999999,98004.048,0.006222,1.7785495971103085,82362.41699996225,195044,-0.00023820676162422671
2022-12-25,13.486,21.15700000000001,-7.67100000000001,97401.076,0.00306,1.6809651474530831,144071.42999997523,267926,0.005171929813682752
2022-12-26,11.940000000000005,45.361,-33.42099999999999,96540.24,0.002871,1.7137042062415195,148128.1869999598,285404,-0.012670816273175234
2022-12-27,43.67399999999999,29.982000000000006,13.691999999999986,103196.123,0.001951,1.7203482045701852,262827.90699983545,422373,-0.009565934397528508
2022-12-28,97.111,36.995000000000005,60.116,106392.652,0.002111,2.209242618741977,344649.8259996989,501669,0.005193379640447304
2022-12-29,105.67600000000004,27.455,78.22100000000005,106936.415,0.01,2.321155762205247,208588.74199987008,345199,-0.0015637342071173066
2022-12-30,37.361,36.49700000000002,0.8639999999999759,107693.273,0.01,2.190810465858328,295626.5699998329,415152,-0.003926414431065339
2022-12-31,24.952,22.383000000000003,2.568999999999999,105691.416,0.01,2.2605151613955003,134462.15599995822,255296,0.004484440922006172
2023-01-01,2.596,16.549,-13.953,108854.594,0.000691,2.221649484536082,105502.56499995364,223276,0.0033716247385005005
2023-01-02,21.959000000000007,87.57799999999999,-65.61899999999999,105155.135,0.00267,2.125,214902.5619999191,346685,0.0001385388353263295
2023-01-03,39.43600000000001,22.320000000000004,17.116000000000003,105095.114,0.003322,1.958579881656805,203070.17899981677,332909,0.010450635209179993
2023-01-04,35.447,152.802,-117.355,101527.768,0.004931,2.020235578375113,349745.7639995224,534748,-0.001099096636671959
2023-01-05,6.6190000000000015,24.619000000000007,-18.000000000000007,103940.723,0.007264,1.5497195308516063,176369.1679997935,328532,0.00703325625515383
2023-01-06,50.675,134.6150000000001,-83.9400000000001,103599.551,0.008658,1.5094102885821832,316963.5709998448,447145,-0.0004177703515821918
2023-01-07,1.36,6.356999999999998,-4.996999999999998,105490.965,0.01,1.4283632831471589,77973.10499996661,189252,0.010816215147354313
2023-01-08,40.77100000000001,137.97200000000004,-97.20100000000002,102822.732,0.007452,1.315886984715146,157716.28399996457,268471,0.0029400048985390725
2023-01-09,89.25900000000004,278.65699999999975,-189.3979999999997,103305.955,0.000905,1.4195499637067506,400261.8379996278,561281,0.01515963093336481
2023-01-10,19.02000000000001,133.05900000000003,-114.03900000000002,113090.616,0.003129,1.044153720359771,297320.3669997936,442569,0.028410295154573717
2023-01-11,39.66199999999999,228.3809999999999,-188.71899999999988,106927.001,-0.000211,0.9025875190258752,386275.1769996554,556031,0.04911903051513278
2023-01-12,239.39899999999983,345.4029999999996,-106.0039999999998,108920.989,0.01,0.9015021867275146,1040328.0000024192,1524169,0.05589304850955479
2023-01-13,130.96700000000004,410.8389999999994,-279.87199999999933,111319.659,0.00716,0.7924359204158452,806807.564001119,1284553,0.05014682768441858
2023-01-14,268.38099999999963,684.3539999999982,-415.9729999999986,93682.131,0.01,0.7975912277548085,938047.2440033868,1872687,-0.003988871656174453
2023-01-15,116.91700000000006,115.4100000000002,1.506999999999863,94267.263,0.019892,0.9091256204658266,428485.6249991277,913339,0.014939473685251059
2023-01-16,149.65699999999993,179.5230000000001,-29.866000000000184,97983.503,0.01,0.9007793195210037,666144.5050005219,1414860,-0.0024026215431760534
2023-01-17,182.93600000000004,140.55999999999997,42.37600000000006,101982.725,0.01,0.7565431231336729,547354.8189991433,1120232,-0.021876742420547046
2023-01-18,248.43499999999992,215.77399999999983,32.66100000000009,101713.36,0.01,0.7568517217146872,813782.4070019083,1829771,0.018880985981668985
