date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count
2025-06-12,2021.626999999998,22.18500000000001,1999.441999999998,79454.049,0.001198,0.6152479405588759,185759.32799999588,1382990
2025-06-13,119.87900000000032,85.33700000000006,34.54200000000026,78494.525,0.003857,0.9346101760495261,240730.1799999925,2053565
2025-06-14,15.232999999999974,8.714999999999996,6.517999999999978,78207.416,0.001135,0.8539117538005192,79910.61399999294,668290
2025-06-15,12.905999999999992,31.31400000000004,-18.408000000000047,78622.343,0.007369,0.8800526414739613,78819.39899999158,668841
2025-06-16,22.860000000000007,76.51200000000019,-53.65200000000018,77972.137,0.002793,0.881821603312006,166798.7099999963,1300719
2025-06-17,118.91500000000032,35.937000000000026,82.97800000000029,76549.913,0.002211,0.5966789078716269,226032.5589999951,1650973
2025-06-18,53.818000000000026,49.70900000000002,4.109000000000009,76488.238,0.006692,1.153316106804479,172691.50399999545,1372368
2025-06-19,18.871,17.74599999999999,1.125000000000007,77791.664,0.002396,1.035002035002035,87695.54299999378,657593
2025-06-20,110.1450000000003,40.46099999999998,69.68400000000031,77503.658,0.0024,1.0374898125509373,199102.03999999593,1199739
2025-06-21,76.52400000000027,29.256000000000007,47.268000000000264,75459.758,0.00744,1.2763487366264512,120241.52899999876,824643
2025-06-22,108.47700000000012,82.92800000000008,25.549000000000035,78681.235,0.004145,1.2182786157941439,293430.23799999745,1973926
2025-06-23,53.377999999999986,191.19499999999965,-137.81699999999967,72607.373,0.004889,1.2002200220022001,297206.53399999434,1881378
2025-06-24,40.30099999999996,37.84500000000001,2.4559999999999462,75447.91,0.000447,0.77210703526493,144441.33499999394,1017864
2025-06-25,20.802,58.64199999999996,-37.83999999999996,76623.634,0.000962,0.6633399866932802,159209.10199999262,1035226
2025-06-26,23.64200000000002,43.563000000000045,-19.921000000000024,77710.984,0.000682,0.5264845061822623,114425.21599999424,853826
2025-06-27,23.727000000000007,19.928999999999984,3.798000000000023,75328.999,0.002557,0.537751806858373,118632.37199999178,754627
2025-06-28,0.7690000000000001,10.44099999999999,-9.67199999999999,75521.818,0.004434,0.5691197238349287,35670.09400000031,310554
2025-06-29,10.538999999999998,67.01600000000009,-56.47700000000009,77914.499,0.01,0.5678896205707118,79448.22099999433,528231
2025-06-30,35.60900000000001,160.99300000000002,-125.38400000000001,76423.952,0.004923,0.5554518587649712,113095.55699999227,720219
2025-07-01,68.44700000000005,12.233999999999982,56.213000000000065,74366.308,0.001109,0.6038492381716118,120426.613999994,788444
2025-07-02,18.227000000000025,115.97700000000012,-97.75000000000009,81359.999,0.00413,0.7534630896019638,177561.1429999965,998681
2025-07-03,31.49700000000003,54.62600000000005,-23.12900000000002,82933.285,0.005028,0.44092219020172907,141413.541999993,944303
2025-07-04,67.99800000000005,15.648999999999988,52.34900000000006,79505.642,0.001797,0.4543339150668993,132210.3269999948,790048
2025-07-05,2.8169999999999975,6.011999999999999,-3.195000000000001,79292.41,0.004005,0.6730801405387317,36652.03399999936,325846
2025-07-06,7.477000000000001,34.74700000000002,-27.27000000000002,77923.119,0.001028,0.6241676140977749,72385.50399999617,529492
2025-07-07,35.629000000000026,14.580999999999989,21.048000000000037,78233.659,0.004271,0.5931177314003504,106392.49999999684,753240
2025-07-08,18.005999999999993,37.73800000000002,-19.732000000000028,78098.208,0.003601,0.6658337497917708,95152.26899999348,678373
2025-07-09,19.71300000000002,191.72499999999997,-172.01199999999994,85653.998,0.004253,0.5780337699226764,167798.28900000238,1002793
2025-07-10,32.12700000000002,137.6830000000004,-105.55600000000038,85102.804,0.001908,0.4499057561258518,211632.21399999913,1314075
2025-07-11,55.83200000000005,114.97500000000034,-59.143000000000285,87799.78,0.01,0.4594279042615295,199548.0539999937,1464297
2025-07-12,20.276000000000018,15.687999999999994,4.588000000000024,88026.815,0.01,0.4731879787860931,63691.120999988154,559347
2025-07-13,13.002999999999997,35.429000000000045,-22.426000000000048,89416.788,0.01,0.48301942755450095,90016.44099999826,748717
2025-07-14,63.469999999999985,865.5009999999961,-802.0309999999961,93068.079,0.01,0.48434021077630995,221397.6019999946,1667586
2025-07-15,119.67800000000037,78.27900000000022,41.39900000000014,89716.092,0.01,0.5790304752881731,269312.15099999297,1939992
2025-07-16,48.20600000000002,82.98700000000017,-34.78100000000015,89542.409,0.01,0.8171906232963837,158982.56299999464,1306125
2025-07-17,49.71299999999995,79.75900000000001,-30.046000000000063,89606.257,0.01,0.7032873445750298,164182.14299999908,1334573
2025-07-18,547.8909999999956,57.52700000000003,490.3639999999956,89346.387,0.01,0.6385384237260363,162154.18899999492,1380006
2025-07-19,17.822,8.683,9.139,87690.395,0.01,0.8138944313440957,52524.87599999185,527822
2025-07-20,17.585999999999995,55.60699999999999,-38.021,89274.789,0.01,0.817520901490367,81369.79299999653,705679
2025-07-21,52.80200000000003,76.61800000000011,-23.81600000000008,90302.169,0.01,0.893939393939394,141699.0239999931,1137689
2025-07-22,49.90900000000006,55.60900000000002,-5.69999999999996,90078.487,0.01,1.0189783969311528,186721.2359999926,1308764
2025-07-23,77.79200000000012,33.74900000000002,44.0430000000001,87171.619,0.01,0.6897600540723218,133756.69399999618,920807
2025-07-24,88.26400000000012,33.26100000000003,55.00300000000009,89594.648,0.01,0.8910741301059001,136137.75599999478,1005391
2025-07-25,179.7710000000001,43.8050000000001,135.966,91505.542,0.01,0.8248175182481753,259692.39699999584,1783240
2025-07-26,0.8710000000000002,14.057999999999996,-13.186999999999996,89285.633,0.01,1.1026072329688814,57218.18099998683,487293
2025-07-27,9.320000000000004,42.98100000000001,-33.661,90391.423,0.01,0.8667164457718872,75977.14099999814,621776
2025-07-28,74.75500000000007,38.68700000000004,36.068000000000026,91806.946,0.01,0.795654516071108,106702.99699999868,985030
2025-07-29,51.72700000000002,30.14800000000004,21.57899999999998,90961.213,0.01,0.9516003122560499,114933.53999999544,1013839
2025-07-30,59.25599999999998,30.16000000000006,29.09599999999992,91478.128,0.01,1.009646302250804,122664.22899999858,1132106
2025-07-31,100.79200000000009,20.270000000000017,80.52200000000008,90250.562,0.01,1.0429009193054135,135023.7789999948,1050065
2025-08-01,160.15700000000035,30.50900000000005,129.6480000000003,89001.461,0.005681,1.1542438604049978,212674.84899999635,1850527
2025-08-02,50.253000000000064,17.808999999999983,32.44400000000008,85727.715,0.004437,1.5031289111389234,102158.4969999974,919520
2025-08-03,6.820000000000003,45.35000000000001,-38.53000000000001,85204.868,0.007504,1.5536261491317673,62803.720999991776,642718
2025-08-04,16.855,41.17200000000002,-24.317000000000018,84826.713,0.003912,1.4943876278373658,83325.70999999989,853424
2025-08-05,52.20899999999998,34.16400000000003,18.044999999999952,83845.763,0.004784,1.4044241404183695,119072.46199999792,1115301
2025-08-06,16.972999999999992,43.69600000000002,-26.723000000000027,83760.105,0.008288,1.4679170779861794,98562.63499999656,883120
2025-08-07,16.196999999999992,62.669,-46.47200000000001,82981.138,0.006275,1.181976871045167,133898.34999999646,965919
2025-08-08,20.918000000000003,25.724999999999977,-4.806999999999974,82225.983,0.007973,1.0108586366378445,89111.35799999519,803967
2025-08-09,16.69199999999999,35.943999999999996,-19.252000000000006,84002.011,0.005151,1.0859407592824364,77912.26599999145,599083
2025-08-10,25.663000000000004,38.471999999999994,-12.80899999999999,86953.627,0.01,1.247696111485727,130254.26699999224,968150
2025-08-11,97.12600000000003,93.13200000000036,3.993999999999673,89722.788,0.01,0.9387359441644049,217065.7339999925,1710575
2025-08-12,22.710999999999984,48.61300000000003,-25.902000000000044,88966.924,0.008543,0.9888623707239459,125485.76699999809,1063402
2025-08-13,37.077000000000005,141.9270000000004,-104.85000000000039,93243.329,0.01,1.02757502027575,187785.59799999883,1467380
2025-08-14,93.48300000000027,41.44500000000001,52.03800000000027,91923.646,0.01,0.7400382808421786,224340.0409999935,1857118
2025-08-15,93.20400000000006,16.81299999999999,76.39100000000008,89020.686,0.003722,1.328830926874709,120107.74799999768,1182012
2025-08-16,6.135999999999998,5.214,0.9219999999999979,90565.539,0.009023,1.3803856224708404,46510.807999990815,454586
2025-08-17,45.45099999999999,10.586,34.864999999999995,89557.528,0.001862,1.3030861354214647,54358.41499999583,501636
2025-08-18,82.06200000000018,28.255000000000003,53.80700000000018,87484.442,0.005296,1.337540906965872,146112.6979999908,1297286
2025-08-19,199.29399999999995,19.034,180.25999999999996,87861.007,0.003167,1.3747328425552126,140939.41099999315,1372901
2025-08-20,48.53299999999999,43.037000000000056,5.495999999999931,85992.179,0.004936,1.649708532061473,130502.44499999692,1253187
2025-08-21,51.24200000000005,12.344999999999992,38.897000000000055,89649.294,0.007414,1.6253609871357309,96400.61299999886,1029734
2025-08-22,46.180999999999976,68.81600000000005,-22.63500000000007,88575.3,0.005867,1.8735632183908049,163799.78099999565,1379676
2025-08-23,38.44800000000003,11.895000000000003,26.553000000000026,91745.999,0.009711,1.3430178069353327,78413.67799998699,636622
2025-08-24,43.638000000000055,15.905999999999985,27.73200000000007,93740.164,0.01,1.6695141484249867,98067.27900000106,955191
2025-08-25,141.12500000000065,66.35700000000001,74.76800000000064,90120.192,0.008344,1.7925160569673273,191847.5119999975,1755593
2025-08-26,29.181000000000054,58.88600000000004,-29.704999999999984,89250.096,0.01,2.0349013657056143,142293.92099999372,1482660
2025-08-27,37.68300000000006,31.31800000000002,6.3650000000000375,88135.721,0.003496,1.9146021568055958,108258.30899999586,1109875
2025-08-28,51.006,32.89000000000004,18.115999999999957,88002.37,0.007512,1.803476310625175,97578.8629999924,969196
2025-08-29,98.08500000000038,24.007000000000016,74.07800000000036,89143.382,0.000644,1.6881720430107525,170430.95799999643,1516742
2025-08-30,29.195000000000057,9.296,19.899000000000058,89548.075,0.008042,2.3233632436025258,60648.75799998706,567738
