date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing
2020-02-08,0.025942264061323606,0.002407597,0,0.0,1,0.0,1,0.0,1,-0.0021833106875419,0
2020-02-09,-0.02954367473588293,0.009121472,0,0.0,1,0.0,1,-0.36205894,0,-0.019843615591526,0
2020-02-10,0.03768335426007141,-0.0012254845,0,0.0,1,0.0,1,0.0,1,-0.0319134071469306,0
2020-02-11,0.01011241230627169,0.008340697,0,0.0,1,0.0,1,1.6565335,0,-0.0366759076714515,0
2020-02-12,-0.009376882300420442,-0.0018342021,0,0.0,1,0.0,1,0.0,1,-0.0380068644881248,0
2020-02-13,0.011215459405667705,0.002323043,0,0.0,1,0.0,1,0.8357204,0,-0.02797082811594,0
2020-02-14,-0.04250045435387029,0.0010463877,0,0.0,1,0.0,1,0.0,1,-0.0226687788963317,0
2020-02-15,0.0012670726683845501,0.0009193043,0,0.0,1,0.0,1,0.97484696,0,-0.0134434327483177,0
2020-02-16,-0.021303241718739208,0.0034466228,0,0.0,1,0.0,1,0.0,1,-0.0086012296378612,0
2020-02-17,0.04726045744900054,-0.011082398,0,0.0,1,0.0,1,0.34004283,0,-0.0138899013400077,0
2020-02-18,-0.0561668753953628,0.017743714,0,0.0,1,0.0,1,0.0,1,-0.0312184691429138,0
2020-02-19,0.00027413566484146834,-0.014504313,0,0.0,1,0.0,1,1.5954939,0,-0.0637009441852569,0
2020-02-20,0.00840209161333072,0.0032055133,0,0.0,1,0.0,1,0.0,1,-0.0854725465178489,0
2020-02-21,-0.002706403294392312,-0.00633104,0,0.0,1,0.0,1,0.5333677,0,-0.0975030586123466,0
2020-02-22,0.02958700053673957,0.009831827,0,0.0,1,0.0,1,0.0,1,-0.102512203156948,0
2020-02-23,-0.028206392657300516,0.0041797757,0,0.0,1,0.0,1,0.82105,0,-0.0984255000948906,0
2020-02-24,-0.03524082629376357,-0.0056601167,0,0.0,1,0.0,1,0.0,1,-0.0872789099812507,0
2020-02-25,-0.056955679788403435,-0.003149673,0,0.0,1,0.0,1,1.1801509,0,-0.0811750963330268,0
2020-02-26,0.00432087874562459,-0.01770433,0,0.0,1,0.0,1,0.0,1,-0.0471009463071823,0
