date,vol_regime,macro_signal,macro_regime,tradable
2021-03-12,1.0,0.0464008674025535,0,1
2021-03-13,1.0,0.0495795756578445,0,1
2021-03-14,1.0,0.0266276970505714,0,1
2021-03-15,1.0,0.0100052170455455,0,1
2021-03-16,1.0,-0.0180407986044883,1,0
2021-03-17,1.0,-0.0512502714991569,1,0
2021-03-18,1.0,-0.0708156302571296,1,0
2021-03-19,1.0,-0.0684945955872535,1,0
2021-03-20,1.0,-0.0487565323710441,1,0
2021-03-21,1.0,-0.0157738104462623,1,0
2021-03-22,1.0,0.0234609041363,0,1
2021-03-23,1.0,0.0595598183572292,0,1
2021-03-24,1.0,0.0849147140979766,0,1
2021-03-25,1.0,0.0921144187450409,0,1
2021-03-26,1.0,0.080682024359703,0,1
2021-03-27,1.0,0.059392973780632,0,1
2021-03-28,1.0,0.0350880399346351,0,1
2021-03-29,1.0,0.0100944451987743,0,1
2021-03-30,1.0,-0.014800451695919,1,0
2021-03-31,1.0,-0.0343254208564758,1,0
2021-04-01,1.0,-0.0469635650515556,1,0
2021-04-02,1.0,-0.0105611160397529,1,0
2021-04-03,1.0,0.006990723311901,0,1
2021-04-04,1.0,0.0177554860711097,0,1
2021-04-05,1.0,0.0408967658877372,0,1
2021-04-06,1.0,0.0945289880037307,0,1
2021-04-07,1.0,0.1567659378051757,0,1
2021-04-08,1.0,0.1698005497455597,0,1
2021-04-09,1.0,0.120457537472248,0,1
2021-04-10,1.0,0.0587693974375724,0,1
2021-04-11,1.0,0.0119604915380477,0,1
2021-04-12,1.0,-0.0244813784956932,1,0
2021-04-13,1.0,-0.0547188147902488,1,0
2021-04-14,1.0,-0.1066508516669273,1,0
2021-04-15,1.0,-0.138025015592575,1,0
2021-04-16,1.0,-0.1557366847991943,1,0
2021-04-17,1.0,-0.14195117354393,1,0
2021-04-18,1.0,-0.1000188514590263,1,0
2021-04-19,1.0,-0.0545147433876991,1,0
2021-04-20,1.0,-0.0201031118631362,1,0
2021-04-21,1.0,0.0130461230874061,0,1
2021-04-22,1.0,0.0643955022096633,0,1
2021-04-23,1.0,0.1259131878614425,0,1
2021-04-24,1.0,0.1433117091655731,0,1
2021-04-25,1.0,0.1083353012800216,0,1
2021-04-26,1.0,0.0584891662001609,0,1
2021-04-27,1.0,0.0267452448606491,0,1
2021-04-28,1.0,0.0132545083761215,0,1
2021-04-29,1.0,0.0083158239722251,0,1
2021-04-30,1.0,0.0059792473912239,0,1
2021-05-01,1.0,0.0035398826003074,0,1
2021-05-02,1.0,0.029688648879528,0,1
2021-05-03,1.0,0.0268461443483829,0,1
2021-05-04,1.0,0.0133341550827026,0,1
2021-05-05,1.0,-0.0242249071598052,1,0
2021-05-06,1.0,-0.0830014571547508,1,0
2021-05-07,1.0,-0.1297414302825927,1,0
2021-05-08,1.0,-0.1520948410034179,1,0
2021-05-09,1.0,-0.1614923179149627,1,0
2021-05-10,1.0,-0.1647858321666717,1,0
2021-05-11,1.0,-0.170710027217865,1,0
2021-05-12,1.0,-0.1792125701904297,1,0
2021-05-13,1.0,-0.1954200267791748,1,0
2021-05-14,1.0,-0.2198483943939209,1,0
2021-05-15,1.0,-0.2165785729885101,1,0
2021-05-16,1.0,-0.1909784376621246,1,0
2021-05-17,1.0,-0.1337619721889495,1,0
2021-05-18,1.0,-0.0712938085198402,1,0
2021-05-19,1.0,-0.0336938127875328,1,0
2021-05-20,1.0,-0.0212715342640876,1,0
2021-05-21,1.0,-0.0230945274233818,1,0
2021-05-22,1.0,-0.028912991285324,1,0
2021-05-23,1.0,-0.0322789922356605,1,0
2021-05-24,1.0,-0.028628684580326,1,0
2021-05-25,1.0,-0.0145828425884246,1,0
2021-05-26,1.0,0.0078966803848743,0,1
2021-05-27,1.0,0.0314860567450523,0,1
2021-05-28,1.0,0.0433106571435928,0,1
2021-05-29,1.0,0.0269506946206092,0,1
2021-05-30,1.0,-0.016193114221096,1,0
2021-05-31,1.0,-0.0552226603031158,1,0
2021-06-01,1.0,-0.0652529448270797,1,0
2021-06-02,1.0,-0.0494473949074745,1,0
2021-06-03,1.0,-0.0265048220753669,1,0
2021-06-04,1.0,-0.000859148800373,1,0
2021-06-05,1.0,0.0414561033248901,0,1
