date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing,direction
2018-04-06,0.0445981831099207,-0.016008448,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-07,0.0177209315815423,0.02288447,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-08,-0.033525220860644,0.00223456,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-09,0.0090199801849404,-0.018872052,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-10,0.0160566343751369,0.0020630597,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-11,0.1393786697613819,-0.0019440949,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-12,-0.005754133535277,0.065732,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-13,0.0154365457682157,0.0021581154,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-14,0.0445042574018534,0.008912616,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-15,-0.034719329742669,0.016748939,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-16,-0.0223064828913367,-0.0155315725,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-17,0.0365224184593062,-0.008344766,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-18,0.0128471797381621,0.022011656,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-19,0.0699420149794636,-0.0042348574,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-20,0.0065857662544117,0.032778792,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-21,-0.0143898529608055,0.0102832075,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-22,0.0167280830133538,0.0007356032,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-23,0.0767829899451646,0.009897225,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-24,-0.077962659004843,0.029710911,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-25,0.0446460480789718,-0.039087605,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-26,-0.0378426505503992,0.023229618,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-27,0.0485286612415665,-0.028014611,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-28,0.0075952075310226,0.02311109,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-29,-0.0183660685847754,-0.013101238,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-30,-0.0188762504042284,-0.004916835,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-01,0.0194411496249786,-0.0065567447,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-02,0.0543002474091247,0.0030882985,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-03,-0.0036933333333333,0.020854104,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-04,0.0154426759755774,0.0050052507,0,0.0,1,0.0,1,0.86127275,0,0.0,1,1
2018-05-05,-0.0207816301703163,-0.0036694617,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-06,-0.0304389373238044,-0.009868484,0,0.0,1,0.0,1,-0.9322846,0,0.0,1,0
2018-05-07,-0.0189471436198612,-0.004860979,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-08,0.0133267156894758,0.0029466571,0,0.0,1,0.0,1,0.68772554,0,0.0,1,1
2018-05-09,-0.0330612244897958,-0.007396269,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-10,-0.0668947590588967,-0.016711192,0,0.0,1,0.0,1,-0.6754108,0,0.0,1,0
2018-05-11,0.0078500000000001,-0.042709496,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-12,0.0252505923736761,-0.00087745977,0,0.0,1,0.0,1,0.7911753,0,0.0,1,1
2018-05-13,-0.0018860077122391,-0.0035025205,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-14,-0.0232404592224245,-0.0032945084,0,0.0,1,0.0,1,-0.8693005,0,0.0,1,0
2018-05-15,-0.0155991491373197,0.0010174674,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-16,-0.0346386554621849,-0.00526818,0,0.0,1,0.0,1,0.95148563,0,0.0,1,0
2018-05-17,0.0246659188754281,-0.00406118,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-18,-0.0007670079771256,0.0005999773,0,0.0,1,0.0,1,-0.4930495,0,0.0,1,0
2018-05-19,0.0356458804225181,0.005206971,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-20,-0.017091631503768,0.00061116274,0,0.0,1,0.0,1,0.57171506,0,0.0,1,0
2018-05-21,-0.0482184020502932,-0.0006901433,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-22,-0.0595654315911401,-0.015888054,0,0.0,1,0.0,1,-0.29766405,0,0.0,1,0
2018-05-23,0.0097388012450096,-0.010393733,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-05-24,-0.0155788573216405,-0.002078007,0,0.0,1,0.0,1,0.87346274,0,0.0,1,0
2018-05-25,-0.016499932948907,-0.004753955,0,0.0,1,0.0,1,0.0,1,0.0,1,0
